Platebarcode	Well	nrCells	area	intensity
PLATE11001	A1	52483	63.3665276875874	0.0392921270969323
PLATE11001	A2	37934	68.0453651511996	0.0386750507519618
PLATE11001	A3	29720	79.291668483623	0.0428027903626171
PLATE11001	A4	50044	64.7529849327195	0.0418042925568997
PLATE11001	A5	33668	67.061497169657	0.0332584835575693
PLATE11001	A6	29773	78.7973633755435	0.0453840692082767
PLATE11001	A7	32275	61.8598633699833	0.0334764067851383
PLATE11001	A8	21238	58.4757076097658	0.0293048304155868
PLATE11001	A9	23294	72.4839290037707	0.0359001871077124
PLATE11001	A10	32991	64.0562855650513	0.0355613713284758
PLATE11001	A11	20088	56.9067058987874	0.0262585901497337
PLATE11001	A12	23272	73.8922366815627	0.0385899168718545
PLATE11001	B1	51224	63.1150460595352	0.0378728948110891
PLATE11001	B2	53336	63.1512729419638	0.041260267330162
PLATE11001	B3	18174	54.0561292057387	0.0235546149284527
PLATE11001	B4	49834	63.4039457375163	0.0399126498354326
PLATE11001	B5	52440	61.7287791838392	0.037535085750323
PLATE11001	B6	17360	52.9719973716217	0.0243614089919354
PLATE11001	B7	33116	62.8620221961948	0.0331987196990433
PLATE11001	B8	36529	62.2682938754738	0.0358046710235044
PLATE11001	B9	12889	39.3573047353489	0.0189221115531457
PLATE11001	B10	32613	61.9157260808672	0.033480399677489
PLATE11001	B11	36517	60.7514698992655	0.0323273234671565
PLATE11001	B12	11241	37.0393606997981	0.0217951766553792
PLATE11001	C1	48799	62.7466710426442	0.0388355832184439
PLATE11001	C2	48170	64.7873109963056	0.0419062819727024
PLATE11001	C3	53519	63.4683447982047	0.0398075973236486
PLATE11001	C4	51064	63.9858574647975	0.0428656390967634
PLATE11001	C5	34420	62.8373814376116	0.0338211971460274
PLATE11001	C6	51526	65.0734064853831	0.0439986980796722
PLATE11001	C7	36882	60.1741597649979	0.0342724020512287
PLATE11001	C8	35441	63.0295345284205	0.0352323735760716
PLATE11001	C9	35274	61.813220539973	0.0330469932645304
PLATE11001	C10	38218	62.1463637168235	0.037061760216425
PLATE11001	C11	23578	58.8226726826417	0.028073680835018
PLATE11001	C12	33237	63.190860053576	0.0367081190328679
PLATE11001	D1	57172	63.6215950470573	0.0416816224106919
PLATE11001	D2	52361	60.5588811043068	0.0427891857751875
PLATE11001	D3	50792	62.4606309034084	0.0387554008034114
PLATE11001	D4	55993	64.4537669359526	0.0439800139344104
PLATE11001	D5	52850	62.6955228798	0.0412579279133085
PLATE11001	D6	49793	64.6698219901093	0.0411507660334326
PLATE11001	D7	52793	62.6610047450768	0.0394149661640191
PLATE11001	D8	39131	59.9338202559875	0.0375241927640309
PLATE11001	D9	36629	60.8527645817439	0.0335805343197703
PLATE11001	D10	52936	63.1822142591883	0.0419162801891847
PLATE11001	D11	41827	61.18267645459	0.0361050499739267
PLATE11001	D12	36289	61.138881351548	0.0352119648482264
PLATE11001	E1	52441	62.9952351284408	0.0387270562579972
PLATE11001	E2	50581	58.1921853294735	0.0376189477216761
PLATE11001	E3	52007	62.3988174947399	0.0386213579264784
PLATE11001	E4	51674	62.5029309007421	0.04155332637193
PLATE11001	E5	49004	57.0109065678208	0.0345468868401123
PLATE11001	E6	52190	64.2880941001388	0.0410737065625106
PLATE11001	E7	38683	61.7783451269951	0.0333593877959253
PLATE11001	E8	30306	58.7246752607186	0.0306962458354255
