Filename	Platebarcode	Plate	Replicate
DataRNAinteractExample_1.txt	PLATE11001	1	1
DataRNAinteractExample_1.txt	PLATE11002	2	1
DataRNAinteractExample_1.txt	PLATE11003	3	1
DataRNAinteractExample_1.txt	PLATE11004	4	1
DataRNAinteractExample_1.txt	PLATE11005	5	1
DataRNAinteractExample_1.txt	PLATE11006	6	1
DataRNAinteractExample_2.txt	PLATE30001	1	2
DataRNAinteractExample_2.txt	PLATE30002	2	2
DataRNAinteractExample_2.txt	PLATE30003	3	2
DataRNAinteractExample_2.txt	PLATE30004	4	2
DataRNAinteractExample_2.txt	PLATE30005	5	2
DataRNAinteractExample_2.txt	PLATE30006	6	2
