TemplatePlate	Well	RID	QueryNr
1	A1	SGI00013	1
1	A2	SGI00017	1
1	A3	SGI00021	1
1	A4	SGI00109	1
1	A5	SGI00113	1
1	A6	SGI00117	1
1	A7	SGI00013	2
1	A8	SGI00017	2
1	A9	SGI00021	2
1	A10	SGI00109	2
1	A11	SGI00113	2
1	A12	SGI00117	2
1	B1	SGI00025	1
1	B2	SGI00029	1
1	B3	SGI00033	1
1	B4	SGI00121	1
1	B5	SGI00125	1
1	B6	SGI00129	1
1	B7	SGI00025	2
1	B8	SGI00029	2
1	B9	SGI00033	2
1	B10	SGI00121	2
1	B11	SGI00125	2
1	B12	SGI00129	2
1	C1	SGI00002	1
1	C2	SGI00006	1
1	C3	SGI00010	1
1	C4	SGI00098	1
1	C5	SGI00102	1
1	C6	SGI00106	1
1	C7	SGI00002	2
1	C8	SGI00006	2
1	C9	SGI00010	2
1	C10	SGI00098	2
1	C11	SGI00102	2
1	C12	SGI00106	2
1	D1	SGI00014	1
1	D2	SGI00018	1
1	D3	SGI00022	1
1	D4	SGI00110	1
1	D5	SGI00114	1
1	D6	SGI00118	1
1	D7	SGI00014	2
1	D8	SGI00018	2
1	D9	SGI00022	2
1	D10	SGI00110	2
1	D11	SGI00114	2
1	D12	SGI00118	2
1	E1	SGI00026	1
1	E2	SGI00030	1
1	E3	SGI00034	1
1	E4	SGI00122	1
1	E5	SGI00126	1
1	E6	SGI00130	1
1	E7	SGI00026	2
1	E8	SGI00030	2
1	E9	SGI00034	2
1	E10	SGI00122	2
1	E11	SGI00126	2
1	E12	SGI00130	2
1	F1	SGI00038	1
1	F2	Ctrl_Fluc	1
1	F3	SGI00046	1
1	F4	SGI00134	1
1	F5	Ctrl_th_2	1
1	F6	SGI00142	1
1	F7	SGI00038	2
1	F8	Ctrl_Fluc	2
1	F9	SGI00046	2
1	F10	SGI00134	2
1	F11	Ctrl_th_2	2
1	F12	SGI00142	2
1	G1	SGI00062	1
1	G2	SGI00066	1
1	G3	SGI00070	1
1	G4	SGI00158	1
1	G5	SGI00162	1
1	G6	SGI00166	1
1	G7	SGI00062	2
1	G8	SGI00066	2
1	G9	SGI00070	2
1	G10	SGI00158	2
1	G11	SGI00162	2
1	G12	SGI00166	2
1	H1	SGI00074	1
1	H2	SGI00078	1
1	H3	SGI00082	1
1	H4	SGI00170	1
1	H5	SGI00174	1
1	H6	SGI00178	1
1	H7	SGI00074	2
1	H8	SGI00078	2
1	H9	SGI00082	2
1	H10	SGI00170	2
1	H11	SGI00174	2
1	H12	SGI00178	2
